"","Familia","Departamento","Genero","Edad","Parentesco","Estado.civil","Nivel.educativo.alcanzado","Empleo.antes","Rama.actividad","tiempo.en.colombia","Horas.disponibles"
"12559","5020430 - 1","Region Suroccidente","Masculino","(18,26]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(39,48]"
"12560","5020483 - 2","Region Nororiente","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Construcción","Menos de 1 año","(48,130]"
"12561","5020483 - 2","Region Nororiente","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Menos de 1 año","(39,48]"
"12562","5020483 - 2","Region Nororiente","Femenino","(18,26]","Otros parientes","Separado y/o viudo","Básica secundaria","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]"
"12563","5020483 - 2","Region Nororiente","Masculino","(18,26]","Otros No parientes","Soltero","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Menos de 1 año","(39,48]"
"12564","5020485 - 1","Region Nororiente","Femenino","(26,59]","Jefe de hogar","Soltero","Superior o universitaria","Si","Servicios sociales y de salud","Menos de 1 año","(48,130]"
"12565","5020485 - 1","Region Nororiente","Masculino","(26,59]","Otros parientes","Soltero","Superior o universitaria","Si","Curtido y preparado de cueros, trabajar con cuero","Entre 1 y 5 años","(48,130]"
"12566","5020490 - 1","Region Nororiente","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Ninguno/No_sabe","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(39,48]"
"12567","5020490 - 1","Region Nororiente","Masculino","(14,18]","Nucleo familiar","Soltero","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(39,48]"
"12568","5020490 - 1","Region Nororiente","Masculino","(18,26]","Otros parientes","Casado y/o union libre","Media (10o -13o)","No","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(39,48]"
"12569","5020491 - 1","Region Nororiente","Femenino","(26,59]","Otros No parientes","Separado y/o viudo","Básica secundaria","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(39,48]"
"12570","5020491 - 1","Region Nororiente","Masculino","(26,59]","Otros No parientes","Casado y/o union libre","Básica secundaria","Si","Construcción","Menos de 1 año","(39,48]"
"12571","5020495 - 1","Region Nororiente","Femenino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(0,39]"
"12572","5020495 - 1","Region Nororiente","Masculino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Construcción","Entre 1 y 5 años","(39,48]"
"12573","5020495 - 1","Region Nororiente","Masculino","(59,100]","Otros parientes","Casado y/o union libre","Básica secundaria","Si","Construcción","Menos de 1 año","(39,48]"
"12574","5020500 - 1","Region Nororiente","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Construcción","Menos de 1 año","(48,130]"
"12575","5020500 - 1","Region Nororiente","Femenino","(26,59]","Otros parientes","Separado y/o viudo","Superior o universitaria","Si","Otras actividades de servicios","Entre 1 y 5 años","(39,48]"
"12576","5020500 - 1","Region Nororiente","Masculino","(14,18]","Otros parientes","Soltero","Media (10o -13o)","No","Construcción","Menos de 1 año","(48,130]"
"12577","5020513 - 1","Region Nororiente","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica primaria","Si","Construcción","Entre 1 y 5 años","(48,130]"
"12578","5020513 - 1","Region Nororiente","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Básica primaria","Si","Otras actividades empresariales","Entre 1 y 5 años","(39,48]"
"12579","5020513 - 1","Region Nororiente","Masculino","(26,59]","Otros parientes","Casado y/o union libre","Básica secundaria","Si","Construcción","Entre 1 y 5 años","(48,130]"
"12580","5020517 - 1","Region Nororiente","Femenino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Servicios sociales y de salud","Menos de 1 año","(39,48]"
"12581","5020517 - 1","Region Nororiente","Masculino","(26,59]","Nucleo familiar","Casado y/o union libre","Básica primaria","Si","Alquiler de maquinaria y equipo sin operarios","Entre 1 y 5 años","(48,130]"
"12582","5020522 - 1","Region Nororiente","Masculino","(18,26]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Construcción","Entre 1 y 5 años","(48,130]"
"12583","5020532 - 1","Region Nororiente","Masculino","(18,26]","Otros parientes","Soltero","Superior o universitaria","Si","Administración pública y defensa","Entre 1 y 5 años","(0,39]"
"12584","5020534 - 1","Region Nororiente","Femenino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Fabricación de prendas de vestir","Entre 1 y 5 años","(48,130]"
"12585","5020534 - 1","Region Nororiente","Masculino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Construcción","Entre 1 y 5 años","(48,130]"
"12586","5020534 - 1","Region Nororiente","Masculino","(26,59]","Otros parientes","Casado y/o union libre","Básica primaria","Si","Construcción","Entre 1 y 5 años","(48,130]"
"12587","5020534 - 1","Region Nororiente","Femenino","(26,59]","Otros parientes","Casado y/o union libre","Básica primaria","Si","Otras actividades empresariales","Entre 1 y 5 años","(39,48]"
"12588","5020534 - 1","Region Nororiente","Masculino","(26,59]","Otros parientes","Separado y/o viudo","Media (10o -13o)","Si","Transporte por vía terrestre; transporte por tuberías","Entre 1 y 5 años","(39,48]"
"12589","5020537 - 1","Region Nororiente","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Mas de 5 años","(39,48]"
"12590","5020540 - 2","Region Nororiente","Femenino","(26,59]","Nucleo familiar","Separado y/o viudo","Superior o universitaria","Si","Educación","Entre 1 y 5 años","(39,48]"
"12591","5020543 - 1","Region Nororiente","Masculino","(26,59]","Nucleo familiar","Separado y/o viudo","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]"
"12592","5020543 - 1","Region Nororiente","Masculino","(18,26]","Otros parientes","Soltero","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]"
"12593","5020543 - 1","Region Nororiente","Femenino","(26,59]","Nucleo familiar","Separado y/o viudo","Superior o universitaria","Si","Otras actividades empresariales","Menos de 1 año","(0,39]"
"12594","5020547 - 1","Region Nororiente","Femenino","(26,59]","Nucleo familiar","Soltero","Básica secundaria","Si","Curtido y preparado de cueros, trabajar con cuero","Entre 1 y 5 años","(39,48]"
"12595","5020557 - 1","Region Nororiente","Femenino","(26,59]","Jefe de hogar","Soltero","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Mas de 5 años","(48,130]"
"12596","5020557 - 1","Region Nororiente","Masculino","(18,26]","Otros parientes","Casado y/o union libre","Media (10o -13o)","Si","Actividades complementarias/auxiliares al transporte","Entre 1 y 5 años","(39,48]"
"12597","5020557 - 1","Region Nororiente","Femenino","(26,59]","Otros parientes","Separado y/o viudo","Media (10o -13o)","No","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]"
"12598","5020558 - 1","Region Nororiente","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]"
"12599","5020558 - 1","Region Nororiente","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Básica secundaria","No","Otras actividades empresariales","Entre 1 y 5 años","(48,130]"
"12600","5020558 - 2","Region Nororiente","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Construcción","Menos de 1 año","(48,130]"
"12601","5020558 - 2","Region Nororiente","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Básica secundaria","Si","Otras actividades empresariales","Menos de 1 año","(39,48]"
"12602","5020584 - 1","Region Nororiente","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica primaria","Si","Comercio al por mayor y al por menor","Mas de 5 años","(48,130]"
"12603","5020585 - 1","Region Nororiente","Femenino","(26,59]","Otros No parientes","Casado y/o union libre","Básica secundaria","No","Hogares privados con servicio doméstico","Menos de 1 año","(48,130]"
"12604","5020625 - 1","Region Cafetera 2","Femenino","(26,59]","Jefe de hogar","Soltero","Básica secundaria","Si","Otras actividades de servicios","Menos de 1 año","(0,39]"
"12605","5020625 - 1","Region Cafetera 2","Masculino","(18,26]","Nucleo familiar","Separado y/o viudo","Básica secundaria","Si","Agricultura, ganadería y caza","Entre 1 y 5 años","(48,130]"
"12606","5020625 - 1","Region Cafetera 2","Masculino","(18,26]","Nucleo familiar","Separado y/o viudo","Media (10o -13o)","Si","Agricultura, ganadería y caza","Menos de 1 año","(48,130]"
"12607","5020625 - 1","Region Cafetera 2","Masculino","(18,26]","Otros parientes","Soltero","Media (10o -13o)","Si","Construcción","Menos de 1 año","(48,130]"
"12608","5020682 - 1","Region Cafetera 2","Masculino","(18,26]","Otros parientes","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]"
"12609","5020682 - 1","Region Cafetera 2","Femenino","(14,18]","Otros parientes","Casado y/o union libre","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(39,48]"
"12610","5020734 - 1","Region cafetera 1","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(39,48]"
"12611","5020734 - 3","Region cafetera 1","Femenino","(18,26]","Jefe de hogar","Soltero","Media (10o -13o)","Si","Hogares privados con servicio doméstico","Entre 1 y 5 años","(39,48]"
"12612","5020734 - 3","Region cafetera 1","Femenino","(18,26]","Otros No parientes","Soltero","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]"
"12613","5020746 - 1","Region cafetera 1","Femenino","(26,59]","Otros parientes","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]"
"12614","5020746 - 1","Region cafetera 1","Femenino","(18,26]","Otros parientes","Soltero","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]"
"12615","5020766 - 3","Region cafetera 1","Masculino","(18,26]","Jefe de hogar","Casado y/o union libre","Básica primaria","Si","Elaboración de productos alimenticios","Entre 1 y 5 años","(48,130]"
"12616","5020766 - 3","Region cafetera 1","Femenino","(18,26]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Otras actividades de servicios","Entre 1 y 5 años","(48,130]"
"12617","5020766 - 3","Region cafetera 1","Masculino","(14,18]","Otros parientes","Soltero","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]"
"12618","5020778 - 1","Region cafetera 1","Femenino","(18,26]","Otros parientes","Casado y/o union libre","Superior o universitaria","Si","Otras actividades empresariales","Entre 1 y 5 años","(39,48]"
"12619","5020779 - 1","Region cafetera 1","Masculino","(18,26]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]"
"12620","5020779 - 1","Region cafetera 1","Femenino","(18,26]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]"
"12621","5020779 - 2","Region cafetera 1","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]"
"12622","5020779 - 2","Region cafetera 1","Masculino","(18,26]","Otros parientes","Separado y/o viudo","Básica primaria","Si","Comercio al por mayor y al por menor","Menos de 1 año","(39,48]"
"12623","5020800 - 1","Region cafetera 1","Femenino","(26,59]","Jefe de hogar","Soltero","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]"
"12624","5020812 - 1","Region Norte 3","Femenino","(26,59]","Otros No parientes","Casado y/o union libre","Superior o universitaria","Si","Hogares privados con servicio doméstico","Menos de 1 año","(48,130]"
"12625","5020840 - 1","Region Norte 3","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Transporte por vía terrestre; transporte por tuberías","Entre 1 y 5 años","(48,130]"
"12626","5020840 - 1","Region Norte 3","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Hogares privados con servicio doméstico","Entre 1 y 5 años","(39,48]"
"12627","5020847 - 1","Region Norte 3","Femenino","(18,26]","Otros parientes","Soltero","Básica secundaria","Si","Hogares privados con servicio doméstico","Menos de 1 año","(39,48]"
"12628","5020867 - 1","Region Norte 3","Masculino","(26,59]","Otros parientes","Casado y/o union libre","Media (10o -13o)","Si","Construcción","Entre 1 y 5 años","(39,48]"
"12629","5020867 - 1","Region Norte 3","Femenino","(14,18]","Otros parientes","Soltero","Media (10o -13o)","Si","Actividades complementarias/auxiliares al transporte","Menos de 1 año","(39,48]"
"12630","5020868 - 1","Region Norte 3","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Otras actividades de servicios","Entre 1 y 5 años","(48,130]"
"12631","5020868 - 1","Region Norte 3","Femenino","(26,59]","Otros parientes","Soltero","Superior o universitaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]"
"12632","5020887 - 1","Region Norte 3","Masculino","(18,26]","Otros parientes","Casado y/o union libre","Media (10o -13o)","Si","Transporte por vía terrestre; transporte por tuberías","Entre 1 y 5 años","(48,130]"
"12633","5020896 - 1","Region Norte 3","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Básica primaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]"
"12634","5020896 - 1","Region Norte 3","Masculino","(18,26]","Nucleo familiar","Soltero","Básica secundaria","No","Comercio al por mayor y al por menor","Menos de 1 año","(39,48]"
"12635","5020896 - 1","Region Norte 3","Femenino","(26,59]","Otros parientes","Soltero","Básica primaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]"
"12636","5020915 - 1","Region Norte 3","Femenino","(18,26]","Otros parientes","Casado y/o union libre","Media (10o -13o)","Si","Hogares privados con servicio doméstico","Entre 1 y 5 años","(48,130]"
"12637","5021049 - 1","Region Central 1","Masculino","(18,26]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]"
"12638","5021049 - 1","Region Central 1","Femenino","(18,26]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Servicios sociales y de salud","Entre 1 y 5 años","(48,130]"
"12639","5021055 - 2","Region Central 1","Masculino","(26,59]","Jefe de hogar","Separado y/o viudo","Básica secundaria","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(48,130]"
"12640","5021059 - 2","Region Central 1","Masculino","(18,26]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]"
"12641","5021059 - 2","Region Central 1","Femenino","(18,26]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]"
"12642","5021104 - 1","Region Central 1","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]"
"12643","5021480 - 1","Region Norte 2","Masculino","(26,59]","Nucleo familiar","Casado y/o union libre","Básica primaria","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]"
"12644","5021480 - 1","Region Norte 2","Femenino","(14,18]","Nucleo familiar","Soltero","Básica secundaria","No","Hoteles, restaurantes, bares y similares","Menos de 1 año","(39,48]"
"12645","5021489 - 1","Region Norte 2","Masculino","(18,26]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","No","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]"
"12646","5021489 - 1","Region Norte 2","Femenino","(14,18]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Otras actividades de servicios","Menos de 1 año","(48,130]"
"12647","5021508 - 1","Region Norte 2","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]"
"12648","5021508 - 1","Region Norte 2","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(39,48]"
"12649","5021508 - 1","Region Norte 2","Masculino","(14,18]","Nucleo familiar","Soltero","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]"
"12650","5021508 - 1","Region Norte 2","Masculino","(26,59]","Otros No parientes","Casado y/o union libre","Superior o universitaria","Si","Construcción","Entre 1 y 5 años","(39,48]"
"12651","5021508 - 1","Region Norte 2","Masculino","(18,26]","Otros parientes","Soltero","Media (10o -13o)","Si","Elaboración de productos alimenticios","Menos de 1 año","(48,130]"
"12652","5021520 - 1","Region Norte 2","Masculino","(18,26]","Jefe de hogar","Soltero","Media (10o -13o)","Si","Transporte por vía terrestre; transporte por tuberías","Entre 1 y 5 años","(48,130]"
"12653","5021542 - 1","Region Norte 2","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(39,48]"
"12654","5021542 - 1","Region Norte 2","Femenino","(14,18]","Nucleo familiar","Soltero","Básica secundaria","No","Hoteles, restaurantes, bares y similares","Menos de 1 año","(0,39]"
"12655","5021543 - 1","Region Norte 2","Masculino","(18,26]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Informática y actividades conexas","Entre 1 y 5 años","(48,130]"
"12656","5021561 - 1","Region Norte 2","Femenino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica primaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]"
"12657","5021561 - 1","Region Norte 2","Masculino","(59,100]","Nucleo familiar","Casado y/o union libre","Básica secundaria","Si","Construcción","Entre 1 y 5 años","(39,48]"
"12658","5021575 - 1","Region Norte 2","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Servicios sociales y de salud","Entre 1 y 5 años","(39,48]"
"12659","5021575 - 1","Region Norte 2","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Servicios sociales y de salud","Entre 1 y 5 años","(39,48]"
"12660","5021579 - 1","Region Norte 2","Femenino","(26,59]","Jefe de hogar","Soltero","Superior o universitaria","No","Otras actividades de servicios","Entre 1 y 5 años","(39,48]"
"12661","5021580 - 1","Region Norte 2","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Construcción","Menos de 1 año","(39,48]"
"12662","5021580 - 1","Region Norte 2","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","No","Hoteles, restaurantes, bares y similares","Menos de 1 año","(48,130]"
"12663","5021580 - 1","Region Norte 2","Masculino","(59,100]","Otros parientes","Separado y/o viudo","Básica secundaria","Si","Fabricación de sustancias y productos químicos","Menos de 1 año","(39,48]"
"12664","5021592 - 1","Region Norte 2","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Construcción","Entre 1 y 5 años","(39,48]"
"12665","5021592 - 1","Region Norte 2","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Servicios sociales y de salud","Entre 1 y 5 años","(48,130]"
"12666","5021593 - 1","Region Norte 2","Femenino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Actividades inmobiliarias","Entre 1 y 5 años","(48,130]"
"12667","5021593 - 1","Region Norte 2","Masculino","(26,59]","Nucleo familiar","Casado y/o union libre","Básica primaria","Si","Transporte por vía terrestre; transporte por tuberías","Entre 1 y 5 años","(48,130]"
"12668","5021594 - 1","Region Norte 2","Femenino","(18,26]","Jefe de hogar","Separado y/o viudo","Básica secundaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]"
"12669","5021596 - 1","Region Norte 2","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]"
"12670","5021596 - 1","Region Norte 2","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Básica primaria","No","Elaboración de productos alimenticios","Menos de 1 año","(0,39]"
"12671","5021597 - 1","Region Norte 2","Femenino","(18,26]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(48,130]"
"12672","5021597 - 1","Region Norte 2","Masculino","(18,26]","Nucleo familiar","Casado y/o union libre","Básica secundaria","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]"
"12673","5021630 - 1","Region Norte 2","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Mas de 5 años","(48,130]"
"12674","5021653 - 1","Region Norte 2","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]"
"12675","5021653 - 1","Region Norte 2","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]"
"12676","5021653 - 1","Region Norte 2","Masculino","(59,100]","Otros No parientes","Casado y/o union libre","Básica primaria","Si","Transporte por vía terrestre; transporte por tuberías","Mas de 5 años","(39,48]"
"12677","5021661 - 1","Region Norte 2","Masculino","(14,18]","Jefe de hogar","Casado y/o union libre","Básica secundaria","No","Hoteles, restaurantes, bares y similares","Menos de 1 año","(48,130]"
"12678","5022203 - 1","Region cafetera 1","Femenino","(26,59]","Otros No parientes","Separado y/o viudo","Media (10o -13o)","Si","Elaboración de productos alimenticios","Entre 1 y 5 años","(39,48]"
"12679","5022263 - 1","Region cafetera 1","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]"
"12680","5022263 - 1","Region cafetera 1","Masculino","(26,59]","Otros parientes","Soltero","Básica secundaria","Si","Comercio al por mayor y al por menor","Menos de 1 año","(39,48]"
"12681","5022272 - 1","Region cafetera 1","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(39,48]"
"12682","5022272 - 1","Region cafetera 1","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Intermediación financiera","Entre 1 y 5 años","(39,48]"
"12683","5022365 - 1","Region Suroccidente","Masculino","(26,59]","Nucleo familiar","Soltero","Básica secundaria","Si","Agricultura, ganadería y caza","Entre 1 y 5 años","(39,48]"
"12684","5022525 - 1","Region Cafetera 2","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]"
"12685","5022525 - 1","Region Cafetera 2","Femenino","(18,26]","Nucleo familiar","Casado y/o union libre","Básica secundaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]"
"12686","5022525 - 1","Region Cafetera 2","Masculino","(18,26]","Nucleo familiar","Separado y/o viudo","Básica secundaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]"
"12687","5022577 - 1","Region Cafetera 2","Femenino","(26,59]","Jefe de hogar","Soltero","Media (10o -13o)","Si","Servicios sociales y de salud","Mas de 5 años","(39,48]"
"12688","5022580 - 1","Region Cafetera 2","Masculino","(18,26]","Otros No parientes","Soltero","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(39,48]"
"12689","5022620 - 1","Region Cafetera 2","Femenino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica primaria","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(0,39]"
"12690","5022620 - 1","Region Cafetera 2","Masculino","(18,26]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Agricultura, ganadería y caza","Menos de 1 año","(48,130]"
"12691","5022666 - 1","Region cafetera 1","Masculino","(26,59]","Jefe de hogar","Separado y/o viudo","Básica primaria","Si","Agricultura, ganadería y caza","Menos de 1 año","(39,48]"
"12692","5022666 - 1","Region cafetera 1","Masculino","(26,59]","Otros parientes","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Menos de 1 año","(39,48]"
"12693","5022666 - 1","Region cafetera 1","Masculino","(26,59]","Otros No parientes","Separado y/o viudo","Básica primaria","Si","Agricultura, ganadería y caza","Entre 1 y 5 años","(39,48]"
"12694","5022693 - 1","Region cafetera 1","Masculino","(26,59]","Jefe de hogar","Separado y/o viudo","Básica secundaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]"
"12695","5022693 - 1","Region cafetera 1","Femenino","(14,18]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]"
"12696","5022693 - 1","Region cafetera 1","Masculino","(18,26]","Otros parientes","Casado y/o union libre","Media (10o -13o)","Si","Construcción","Entre 1 y 5 años","(48,130]"
"12697","5022693 - 1","Region cafetera 1","Masculino","(26,59]","Otros parientes","Separado y/o viudo","Superior o universitaria","Si","Construcción","Entre 1 y 5 años","(48,130]"
"12698","5023348 - 1","Region cafetera 1","Femenino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(0,39]"
"12699","5023348 - 1","Region cafetera 1","Masculino","(18,26]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Construcción","Entre 1 y 5 años","(39,48]"
"12700","5023348 - 1","Region cafetera 1","Masculino","(14,18]","Otros parientes","Soltero","Básica secundaria","Si","Construcción","Entre 1 y 5 años","(48,130]"
"12701","5023370 - 1","Region Norte 1","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]"
"12702","5023396 - 1","Region Norte 2","Masculino","(26,59]","Nucleo familiar","Separado y/o viudo","Básica primaria","Si","Construcción","Menos de 1 año","(39,48]"
"12703","5023404 - 1","Region Norte 2","Masculino","(18,26]","Otros parientes","Soltero","Básica primaria","Si","Transporte por vía terrestre; transporte por tuberías","Mas de 5 años","(48,130]"
"12704","5023404 - 1","Region Norte 2","Femenino","(26,59]","Otros parientes","Casado y/o union libre","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(39,48]"
"12705","5023404 - 1","Region Norte 2","Masculino","(18,26]","Otros parientes","Casado y/o union libre","Media (10o -13o)","Si","Transporte por vía terrestre; transporte por tuberías","Entre 1 y 5 años","(48,130]"
"12706","5023404 - 1","Region Norte 2","Femenino","(18,26]","Otros parientes","Separado y/o viudo","Media (10o -13o)","Si","Hogares privados con servicio doméstico","Menos de 1 año","(39,48]"
"12707","5023434 - 1","Region Central 2","Femenino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Actividades inmobiliarias","Entre 1 y 5 años","(0,39]"
"12708","5023446 - 1","Region Central 2","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","No","Explotación de minas y carbón","Entre 1 y 5 años","(48,130]"
"12709","5023471 - 1","Region Cafetera 2","Masculino","(18,26]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]"
